	Chen001	Chen002	Chen003	Chen004	Chen005	Chen006	Chen007	Chen008	Chen009	Chen010	Chen011	Chen012	Chen013	Chen014	Chen015	Chen016	Chen017	Chen018	Chen019	Chen020	Chen021	Chen022	Chen023	Chen024	Chen025	Chen026	Chen027	Chen028	Chen029	Chen030	Chen031	Chen032	Chen033	Chen034	Chen035	Chen036	Chen037	Chen038	Chen039	Chen040	Chen041	Chen042	Chen043	Chen044	Chen045	taxonomy
Otu2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
Otu2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	2	0	0	5	0	0	3	0	2	0	1	0	0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SJA-101; g__; s__
Otu2902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
Otu2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
Otu2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	2	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__
Otu2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
Otu2906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	4	1	3	0	1	0	0	0	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__[Kouleothrixaceae]; g__; s__
Otu2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	Unassigned
Otu2908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	Unassigned
Otu2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__
Otu291	0	0	3	1	1	1	24	12	0	2	11	9	13	4	7	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	14	0	0	0	0	3	0	0	7	1	1	8	1	1	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__[Marinicellales]; f__[Marinicellaceae]; g__; s__
Otu2910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	1	0	0	0	0	0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-5; o__; f__; g__; s__
Otu2911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	4	0	0	0	0	0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
Otu2912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	3	1	0	2	1	1	3	0	2	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
